Time (sec),Link Budget (kbps),Line Of Sight (1/0),Antenna X,Antenna Y,Antenna Z,Satellite X,Satellite Y,Satellite Z
10085.66796,2675.3759173271,1,2144.311024602723,6617.156204240271,5717.9388798536165,-18200.0,7300.0,8700.0
10145.66796,2675.3759173271,1,2117.75101396073,6615.749233342912,5729.454054242945,-18600.0,7250.0,8700.0
10205.66796,2675.3759173271,1,2091.196905425079,6614.215617500113,5740.966669755895,-18900.0,7200.0,8700.0
10265.66796,2675.3759173271,1,2064.6492073196973,6612.555386069807,5752.476506007066,-19200.0,7150.0,8710.0
10325.66796,2675.3759173271,1,2038.108427845796,6610.768570833716,5763.983342664256,-19500.0,7100.0,8710.0
10385.66796,2675.3759173271,1,2011.575075072145,6608.855205996753,5775.486959452687,-19800.0,7050.0,8710.0
10445.66796,2675.3759173271,1,1985.0496569253428,6606.815328186361,5786.987136159218,-20100.0,6990.0,8700.0
10505.66796,2675.3759173271,1,1958.5326811800987,6604.648976451815,5798.48365263656,-20400.0,6940.0,8700.0
10565.66796,2675.3759173271,1,1932.024655449508,6602.356192263476,5809.976288807492,-20700.0,6890.0,8700.0
10625.66796,2675.3759173271,1,1905.526087175334,6599.937019511991,5821.464824669077,-20900.0,6830.0,8690.0
10685.66796,2675.3759173271,1,1879.0374836183016,6597.391504507461,5832.949040296864,-21200.0,6780.0,8690.0
10745.66796,2675.3759173271,1,1852.5593518483788,6594.719695978547,5844.428715849109,-21500.0,6720.0,8680.0
10805.66796,2675.3759173271,1,1826.0921987350707,6591.921645071541,5855.903631570976,-21800.0,6660.0,8680.0
10865.66796,2675.3759173271,1,1799.6365309377225,6588.997405349388,5867.373567798747,-22100.0,6600.0,8670.0
10925.66796,2675.3759173271,1,1773.192854895813,6585.9470327906565,5878.838304964026,-22400.0,6540.0,8660.0
10985.66796,2675.3759173271,1,1746.7616768192652,6582.770585788472,5890.297623597942,-22600.0,6490.0,8650.0
11045.66796,2675.3759173271,1,1720.3435026787563,6579.468125149395,5901.751304335352,-22900.0,6430.0,8640.0
11105.66796,2675.3759173271,1,1693.9388381960257,6576.039714092258,5913.199127919037,-23200.0,6360.0,8630.0
11165.66796,2675.3759173271,1,1667.548188834201,6572.485418246956,5924.640875203901,-23500.0,6300.0,8620.0
11225.66796,2675.3759173271,1,1641.1720597881172,6568.805305653192,5936.0763271611695,-23700.0,6240.0,8600.0
11285.66796,2675.3759173271,1,1614.81095597465,6564.99944675917,5947.505264882577,-24000.0,6180.0,8590.0
11345.66796,2675.3759173271,1,1588.4653820230442,6561.0679144202495,5958.927469584558,-24300.0,6120.0,8580.0
11405.66796,2675.3759173271,1,1562.135842265262,6557.010783897553,5970.34272261244,-24500.0,6050.0,8560.0
11465.66796,2675.3759173271,1,1535.822840726319,6552.828132856519,5981.750805444624,-24800.0,5990.0,8550.0
11525.66796,2675.3759173271,1,1509.5268811146452,6548.52004136542,5993.151499696772,-25000.0,5930.0,8530.0
11585.66796,2675.3759173271,1,1483.2484668124343,6544.086591893829,6004.544587125981,-25300.0,5860.0,8520.0
11645.66796,2675.3759173271,1,1456.988100866011,6539.527869311038,6015.929849634969,-25600.0,5800.0,8500.0
11705.66796,2675.3759173271,1,1430.7462859762054,6534.84396088444,6027.307069276244,-25800.0,5730.0,8480.0
11765.66796,2675.3759173271,1,1404.5235244887194,6530.034956277851,6038.67602825628,-26100.0,5670.0,8460.0
11798.96796,2675.3759173271,1,1389.9782981400483,6527.3120118899205,6044.982155922975,-26200.0,5630.0,8450.0
11858.96796,2675.3759173271,1,1363.7861617474582,6522.308666478353,6056.337837298828,-26500.0,5560.0,8430.0
11918.96796,2675.3759173271,1,1337.6143605713833,6517.180464849285,6067.68470227895,-26700.0,5500.0,8410.0
11978.96796,2675.3759173271,1,1311.4633956172624,6511.92750517162,6079.022533650891,-26900.0,5430.0,8390.0
12038.96796,2675.3759173271,1,1285.3337674916652,6506.549888002488,6090.351114375133,-27200.0,5360.0,8370.0
12098.96796,2675.3759173271,1,1259.2259763927095,6501.04771628534,6101.670227589239,-27400.0,5300.0,8350.0
12158.96796,2675.3759173271,1,1233.1405221004916,6495.421095347964,6112.979656612012,-27700.0,5230.0,8330.0
12218.96796,2675.3759173271,1,1207.0779039675149,6489.670132900474,6124.279184947636,-27900.0,5160.0,8310.0
12278.96796,2675.3759173271,1,1181.038620909128,6483.794939033243,6135.568596289825,-28200.0,5090.0,8280.0
12338.96796,2675.3759173271,1,1155.0231713939825,6477.795626214808,6146.847674525961,-28400.0,5020.0,8260.0
12398.96796,2675.3759173271,1,1129.032053434481,6471.672309289703,6158.116203741233,-28600.0,4950.0,8240.0
12458.96796,2675.3759173271,1,1103.0657645772512,6465.425105476265,6169.373968222769,-28900.0,4890.0,8210.0
12518.96796,2675.3759173271,1,1077.1248018936185,6459.054134364396,6180.620752463766,-29100.0,4820.0,8190.0
12578.96796,2675.3759173271,1,1051.2096619700887,6452.559517913266,6191.856341167613,-29300.0,4750.0,8170.0
12638.96796,2675.3759173271,1,1025.3208408988469,6445.94138044898,6203.080519252019,-29600.0,4680.0,8140.0
12698.96796,2675.3759173271,1,999.4588342682546,6439.199848662204,6214.2930718531225,-29800.0,4610.0,8110.0
12758.96796,2675.3759173271,1,973.6241371533664,6432.335051605731,6225.493784329608,-30000.0,4540.0,8090.0
12818.96796,2675.3759173271,1,947.8172441064572,6425.347120692015,6236.682442266818,-30200.0,4470.0,8060.0
12878.96796,2675.3759173271,1,922.038649147541,6418.236189690659,6247.858831480849,-30500.0,4390.0,8040.0
12938.96796,2675.3759173271,1,896.2888457549298,6411.002394725843,6259.022738022664,-30700.0,4320.0,8010.0
12998.96796,2675.3759173271,1,870.5683268557805,6403.645874273734,6270.173948182175,-30900.0,4250.0,7980.0
13058.96796,2675.3759173271,1,844.8775848166529,6396.166769159821,6281.312248492342,-31100.0,4180.0,7950.0
13118.96796,2675.3759173271,1,819.2171114340949,6388.565222556226,6292.437425733261,-31400.0,4110.0,7930.0
13178.96796,2675.3759173271,1,793.587397925221,6380.841379978963,6303.549266936237,-31600.0,4040.0,7900.0
13238.96796,2675.3759173271,1,767.9889349183118,6372.995389285151,6314.6475593878695,-31800.0,3970.0,7870.0
13298.96796,2675.3759173271,1,742.4222124434204,6365.027400670184,6325.732090634119,-32000.0,3890.0,7840.0
13358.96796,2675.3759173271,1,716.8877199229942,6356.9375666648575,6336.802648484379,-32200.0,3820.0,7810.0
13418.96796,2675.3759173271,1,691.3859461625011,6348.726042132442,6347.859021015531,-32400.0,3750.0,7780.0
13478.96796,2675.3759173271,1,665.9173793410782,6340.39298426573,6358.900996576009,-32600.0,3680.0,7750.0
13538.96796,2675.3759173271,1,640.4825070021839,6331.938552584015,6369.928363789844,-32800.0,3600.0,7720.0
13598.96796,2675.3759173271,1,615.0818160442632,6323.362908930048,6380.940911560719,-33100.0,3530.0,7690.0
13658.96796,2675.3759173271,1,589.7157927114285,6314.666217466931,6391.938429075998,-33300.0,3460.0,7660.0
13718.96796,2675.3759173271,1,564.3849225841532,6305.848644674979,6402.920705810775,-33500.0,3390.0,7630.0
13778.96796,2675.3759173271,1,539.0896905699769,6296.910359348531,6413.887531531891,-33700.0,3310.0,7600.0
13838.96796,2675.3759173271,1,513.8305808942141,6287.85153259272,6424.838696301971,-33900.0,3240.0,7570.0
13898.96796,2675.3759173271,1,488.6080770906956,6278.6723378202005,6435.773990483434,-34100.0,3170.0,7530.0
13958.96796,2675.3759173271,1,463.4226619925096,6269.372950747824,6446.693204742509,-34300.0,3090.0,7500.0
14018.96796,2675.3759173271,1,438.27481772275337,6259.953549393273,6457.59613005324,-34500.0,3020.0,7470.0
14078.96796,2675.3759173271,1,413.16502568530814,6250.414314071662,6468.482557701494,-34700.0,2950.0,7440.0
14138.96796,2675.3759173271,1,388.09376655562687,6240.75542739208,6479.352279288949,-34900.0,2870.0,7400.0
14198.96796,2675.3759173271,1,363.0615202715248,6230.977074254095,6490.205086737086,-35100.0,2800.0,7370.0
14258.96796,2675.3759173271,1,338.06876602399825,6221.079441844214,6501.040772291174,-35300.0,2720.0,7340.0
14318.96796,2675.3759173271,1,313.11598224805,6211.062719632304,6511.859128524245,-35500.0,2650.0,7300.0
14378.96796,2675.3759173271,1,288.2036466135287,6200.92709936796,6522.659948341064,-35700.0,2580.0,7270.0
14438.96796,2675.3759173271,1,263.3322360159864,6190.672775076837,6533.443024982096,-35900.0,2500.0,7240.0
14498.96796,2675.3759173271,1,238.50222656755025,6180.2999430569325,6544.208152027465,-36100.0,2430.0,7200.0
14558.96796,2675.3759173271,1,213.7140935878101,6169.808801874837,6554.955123400897,-36200.0,2350.0,7170.0
