Time (min),Available Satellite,Link Budget (kbps),Satellite X,Satellite Y,Satellite Z
3431.178301,WPSA,252.6866166720092,-236174.3732,-61447.35418,-17909.0727
3432.178301,WPSA,252.54116764950044,-236239.6825,-61478.10929,-17925.61459
3433.178301,WPSA,252.39566091278022,-236304.9688,-61508.85819,-17942.15463
3434.178301,WPSA,252.25009629039616,-236370.2323,-61539.60089,-17958.69283
3435.178301,WPSA,252.10447443166922,-236435.4728,-61570.33738,-17975.22919
3436.178301,WPSA,251.95879517439292,-236500.6905,-61601.06768,-17991.7637
3437.178301,WPSA,251.81305897913296,-236565.8853,-61631.79177,-18008.29637
3438.178301,WPSA,251.66726609183556,-236631.0572,-61662.50967,-18024.8272
3439.178301,WPSA,251.52141657577914,-236696.2063,-61693.22138,-18041.35618
3440.178301,WPSA,251.37551069978522,-236761.3326,-61723.92689,-18057.88332
3441.178301,WPSA,251.22954872394257,-236826.4361,-61754.62622,-18074.40862
3442.178301,WPSA,251.08353112989755,-236891.5167,-61785.31936,-18090.93207
3443.178301,WPSA,250.9374577981819,-236956.5746,-61816.00631,-18107.45367
3444.178301,WPSA,250.7913292047343,-237021.6097,-61846.68708,-18123.97343
3445.178301,WPSA,250.64514543899432,-237086.6221,-61877.36167,-18140.49135
3446.178301,WPSA,250.4989069950235,-237151.6117,-61908.03008,-18157.00742
3447.178301,WPSA,250.35261396915638,-237216.5786,-61938.69231,-18173.52165
3448.178301,WPSA,250.2062668587484,-237281.5227,-61969.34837,-18190.03403
3449.178301,WPSA,250.05986557617112,-237346.4442,-61999.99825,-18206.54457
3450.178301,WPSA,249.9134106225219,-237411.343,-62030.64197,-18223.05326
3451.178301,WPSA,249.76690231782527,-237476.2191,-62061.27952,-18239.5601
3452.178301,WPSA,249.6203409790369,-237541.0725,-62091.9109,-18256.0651
3453.178301,WPSA,249.47372672707738,-237605.9033,-62122.53612,-18272.56826
3454.178301,WPSA,249.32705989969742,-237670.7115,-62153.15517,-18289.06956
3455.178301,WPSA,249.18034100959161,-237735.497,-62183.76807,-18305.56903
3456.178301,WPSA,249.0335700158394,-237800.26,-62214.3748,-18322.06664
3457.178301,WPSA,248.88674763868752,-237865.0003,-62244.97538,-18338.56241
3458.178301,WPSA,248.73987383163728,-237929.7181,-62275.56981,-18355.05633
3459.178301,WPSA,248.59294913850374,-237994.4133,-62306.15809,-18371.54841
3460.178301,WPSA,248.44597371846504,-238059.086,-62336.74022,-18388.03864
3461.178301,WPSA,248.29894812540826,-238123.7361,-62367.3162,-18404.52702
3462.178301,WPSA,248.15187252478336,-238188.3637,-62397.88603,-18421.01355
3463.178301,WPSA,248.00474727526736,-238252.9688,-62428.44972,-18437.49824
3464.178301,WPSA,247.85757274902053,-238317.5514,-62459.00727,-18453.98108
3465.178301,WPSA,247.71034931778195,-238382.1115,-62489.55868,-18470.46208
3466.178301,WPSA,247.5630771636577,-238446.6492,-62520.10396,-18486.94122
3467.178301,WPSA,247.41575686969577,-238511.1644,-62550.64309,-18503.41852
3468.178301,WPSA,247.26838880889056,-238575.6571,-62581.1761,-18519.89397
3469.178301,WPSA,247.12097298436353,-238640.1275,-62611.70298,-18536.36758
3470.178301,WPSA,246.97351018921262,-238704.5754,-62642.22372,-18552.83933
3471.178301,WPSA,246.8260006121585,-238769.0009,-62672.73834,-18569.30924
3472.178301,WPSA,246.67844446304696,-238833.4041,-62703.24684,-18585.7773
3473.178301,WPSA,246.53084254105082,-238897.7848,-62733.74921,-18602.24351
3474.178301,WPSA,246.38319486242116,-238962.1432,-62764.24546,-18618.70787
3475.178301,WPSA,246.23550183592016,-239026.4793,-62794.7356,-18635.17038
3476.178301,WPSA,246.087764082445,-239090.793,-62825.21961,-18651.63104
3477.178301,WPSA,245.93998181228105,-239155.0844,-62855.69752,-18668.08986
3478.178301,WPSA,245.79215546242511,-239219.3535,-62886.16931,-18684.54683
3479.178301,WPSA,245.6442854586833,-239283.6003,-62916.63499,-18701.00194
3480.178301,WPSA,245.49637222890775,-239347.8248,-62947.09456,-18717.45521
3481.178301,WPSA,245.34841601356106,-239412.0271,-62977.54803,-18733.90663
3482.178301,WPSA,245.20041745002035,-239476.2071,-63007.99539,-18750.3562
3483.178301,WPSA,245.05237678409833,-239540.3649,-63038.43665,-18766.80392
3484.178301,WPSA,244.904294462909,-239604.5005,-63068.87181,-18783.24979
3485.178301,WPSA,244.75617112905493,-239668.6138,-63099.30087,-18799.69381
3486.178301,WPSA,244.60800703948644,-239732.7049,-63129.72384,-18816.13598
3487.178301,WPSA,244.45980246512622,-239796.7739,-63160.14071,-18832.5763
3488.178301,WPSA,244.31155805413368,-239860.8207,-63190.55149,-18849.01477
3489.178301,WPSA,244.16327426616476,-239924.8453,-63220.95619,-18865.45139
3490.178301,WPSA,244.01495138783355,-239988.8478,-63251.35479,-18881.88616
3491.178301,WPSA,243.86659007215195,-240052.8281,-63281.74731,-18898.31908
3492.178301,WPSA,243.71819041717612,-240116.7864,-63312.13374,-18914.75015
3493.178301,WPSA,243.56975327826592,-240180.7225,-63342.51409,-18931.17937
3494.178301,WPSA,243.42127894852302,-240244.6365,-63372.88836,-18947.60673
3495.178301,WPSA,243.2727677136745,-240308.5285,-63403.25656,-18964.03225
3496.178301,WPSA,243.12422044980738,-240372.3983,-63433.61868,-18980.45592
3497.178301,WPSA,242.97563708050842,-240436.2462,-63463.97472,-18996.87773
3498.178301,WPSA,242.8270184741218,-240500.072,-63494.32469,-19013.29769
3499.178301,WPSA,242.67836512172823,-240563.8757,-63524.6686,-19029.71581
3500.178301,WPSA,242.5296771597326,-240627.6575,-63555.00643,-19046.13207
3501.178301,WPSA,242.3809552730736,-240691.4173,-63585.3382,-19062.54647
3502.178301,WPSA,242.2322001544878,-240755.155,-63615.66391,-19078.95903
3503.178301,WPSA,242.08341193894572,-240818.8708,-63645.98356,-19095.36974
3504.178301,WPSA,241.93459133673147,-240882.5646,-63676.29714,-19111.77859
3505.178301,WPSA,241.78573866474122,-240946.2365,-63706.60467,-19128.18559
3506.178301,WPSA,241.63685444846917,-241009.8865,-63736.90614,-19144.59074
3507.178301,WPSA,241.48793939499188,-241073.5145,-63767.20156,-19160.99404
3508.178301,WPSA,241.3389938493442,-241137.1206,-63797.49092,-19177.39548
3509.178301,WPSA,241.19001832727508,-241200.7048,-63827.77424,-19193.79508
3510.178301,WPSA,241.04101318265077,-241264.2672,-63858.05151,-19210.19282
3511.178301,WPSA,240.89197932422155,-241327.8076,-63888.32273,-19226.58871
3512.178301,WPSA,240.74291691241623,-241391.3262,-63918.58791,-19242.98274
3513.178301,WPSA,240.59382648668588,-241454.823,-63948.84705,-19259.37492
3514.178301,WPSA,240.44470877840337,-241518.2979,-63979.10015,-19275.76525
3515.178301,WPSA,240.29556414741427,-241581.751,-64009.34721,-19292.15373
3516.178301,WPSA,240.14639314575655,-241645.1823,-64039.58823,-19308.54035
3517.178301,WPSA,239.99719613276105,-241708.5919,-64069.82322,-19324.92512
3518.178301,WPSA,239.84797403689953,-241771.9796,-64100.05218,-19341.30804
3519.178301,WPSA,239.6987270455638,-241835.3456,-64130.27511,-19357.6891
3520.178301,WPSA,239.5494559037925,-241898.6898,-64160.49201,-19374.06831
3521.178301,WPSA,239.40016117019422,-241962.0122,-64190.70289,-19390.44567
3522.178301,WPSA,239.2508430462818,-242025.313,-64220.90774,-19406.82117
3523.178301,WPSA,239.10150246564282,-242088.592,-64251.10657,-19423.19482
3524.178301,WPSA,238.95213981873823,-242151.8493,-64281.29937,-19439.56662
3525.178301,WPSA,238.80275567236984,-242215.0849,-64311.48616,-19455.93656
3526.178301,WPSA,238.65335041609347,-242278.2989,-64341.66694,-19472.30465
3527.178301,WPSA,238.5039248210069,-242341.4912,-64371.8417,-19488.67088
3528.178301,WPSA,238.35447946181853,-242404.6618,-64402.01045,-19505.03526
3529.178301,WPSA,238.20501474269562,-242467.8108,-64432.17318,-19521.39779
3530.178301,WPSA,238.0555312432171,-242530.9382,-64462.32991,-19537.75846
3531.178301,WPSA,237.90602974129828,-242594.0439,-64492.48063,-19554.11727
3532.178301,WPSA,237.75651045130735,-242657.1281,-64522.62535,-19570.47424
3533.178301,WPSA,237.60697434133618,-242720.1906,-64552.76407,-19586.82934
3534.178301,WPSA,237.45742163824926,-242783.2316,-64582.89678,-19603.1826
3535.178301,WPSA,237.30785312131673,-242846.251,-64613.0235,-19619.53399
3536.178301,WPSA,237.15826920632992,-242909.2489,-64643.14422,-19635.88354
3537.178301,WPSA,237.00867068592095,-242972.2252,-64673.25894,-19652.23122
3538.178301,WPSA,236.8590579713626,-243035.18,-64703.36767,-19668.57706
3539.178301,WPSA,236.70943167658706,-243098.1133,-64733.47041,-19684.92103
3540.178301,WPSA,236.55979240057056,-243161.0251,-64763.56717,-19701.26316
3541.178301,WPSA,236.41014077067598,-243223.9154,-64793.65793,-19717.60342
3542.178301,WPSA,236.26047738547183,-243286.7842,-64823.74271,-19733.94184
3543.178301,WPSA,236.11080268522232,-243349.6316,-64853.82151,-19750.27839
3544.178301,WPSA,235.96111747080508,-243412.4575,-64883.89432,-19766.61309
3545.178301,WPSA,235.81142235313771,-243475.2619,-64913.96116,-19782.94594
3546.178301,WPSA,235.66171760248514,-243538.045,-64944.02201,-19799.27693
3547.178301,WPSA,235.51200419282506,-243600.8066,-64974.0769,-19815.60606
3548.178301,WPSA,235.36228258056195,-243663.5468,-65004.1258,-19831.93334
